xorgproto 2023.2-1
xvidcore 1.3.7-2
xz 5.4.3-1
yajl 2.1.0-5
yay-git 11.3.0.r12.g647d160-1
zathura 0.5.2-2
zathura-pdf-mupdf 0.4.0-3
zeromq 4.3.4-4
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-2
zoxide 0.9.1-1
zsh 5.9-3
zstd 1.5.5-1
zziplib 0.13.72-2
